__src_id,__dst_id,type
"organization/context-relevant","funding-round/da83a6be4ca556156258f6536bece281","hasFundingRound"
"organization/context-relevant","QWRkcmVzc0hlYWRxdWFydGVyc251bGxudWxsOTgxMDFTZWF0dGxl","hasOffice"
"organization/context-relevant","QWRkcmVzc0hlYWRxdWFydGVyc251bGxudWxsOTgxMDFTZWF0dGxl","hasHeadquarter"
"organization/dazo","category/software/c08b5441a05b9777b7a6012728caddd9","hasCategory"
"organization/deep-information-sciences-inc","person/jason-jeffords","hasTeamMember"
"organization/deep-information-sciences-inc","person/jason-jeffords","hasFounder"
"organization/deep-information-sciences-inc","http://deep.is/information-science","hasWebsite"
"organization/deep-information-sciences-inc","category/software/c08b5441a05b9777b7a6012728caddd9","hasCategory"
"organization/dna-bits","QWRkcmVzc0hlYWRxdWFydGVyc251bGxudWxsbnVsbEplcnVzYWxlbQ==","hasHeadquarter"
"organization/dna-bits","QWRkcmVzc0hlYWRxdWFydGVyc251bGxudWxsbnVsbEplcnVzYWxlbQ==","hasOffice"
"organization/echovoice","category/software/c08b5441a05b9777b7a6012728caddd9","hasCategory"
"organization/edureka","image/upload/v1397187047/c92ad19518a8903b741a1563e502e3e3.png","hasPrimaryImage"
"organization/edureka","person/gaurav-shankhdhar","hasTeamMember"
"organization/fbs-data-systems","http://www.facebook.com/pages/flexmls/110635571991","hasWebsite"
"organization/filmijob","http://twitter.com/filmijob","hasWebsite"
"organization/filmijob","image/upload/v1404225762/tkc6yjuqjxrm427b9vv5.jpg","hasPrimaryImage"
"organization/getbulb","http://getbulb.com","hasWebsite"
"organization/giant-oak-inc","person/gary-shiffman","hasTeamMember"
"organization/giant-oak-inc","person/gary-shiffman","hasFounder"
"organization/ginger-io","QWRkcmVzc251bGxudWxsbnVsbDk0MTA0U2FuIEZyYW5jaXNjbw==","hasOffice"
"organization/ginger-io","category/mobile/e907cf2a842d8a30a0b107d9de4a8178","hasCategory"
"organization/granify","http://blog.granify.com/","hasWebsite"
"organization/graphdive","person/shahram-seyedin-noor","hasTeamMember"
"organization/graphdive","person/shahram-seyedin-noor","hasFounder"
"organization/gridgain-systems","person/abe-kleinfeld","hasTeamMember"
"organization/gridgain-systems","funding-round/4c6bd4ecb264df05eda0b5382e91e2f3","hasFundingRound"
"organization/gridgain-systems","person/nikita-ivanov","hasTeamMember"
"organization/gridgain-systems","person/lisa-bergamo","hasTeamMember"
"organization/hexanika","http://www.linkedin.com/company/hexanika","hasWebsite"
"organization/hexanika","category/software/c08b5441a05b9777b7a6012728caddd9","hasCategory"
"organization/hitfox-group","category/mobile/e907cf2a842d8a30a0b107d9de4a8178","hasCategory"
"organization/hitfox-group","http://www.hitfoxgroup.com","hasWebsite"
"organization/inkiru","http://twitter.com/Inkiru101","hasWebsite"
"organization/intersec","funding-round/3b953df19e53adff3fde41cdb250d400","hasFundingRound"
"organization/intersec","person/yann-chevalier","hasTeamMember"
"organization/intersec","http://www.linkedin.com/company/92062","hasWebsite"
